Job Title,Department,Service Area,Annual Salary
Police Officer,Patrol,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Investigations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Special Operations,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
Police Officer,Patrol,Police Services,93688
"Sr Manager, Parks",Parks,Community Services,93600
"Sr Manager, Parks",Parks,Community Services,93600
Civil Engineer II,Engineering,"Planning, Dev & Transportation",93569.41
Sr Project Manager,City Manager's Office,Executive Services,93491.45
Firefighter Driver/Op-40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefighter Driver/Op-40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefighter Driver/Op-40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefighter Driver/Op-40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefighter Driver/Op-40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Firefightr Driver/Op-56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,93470
Hr & Policy Administrator,Poudre Fire Authority,Poudre Fire Authority,93446.6
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,93358.41
"Sr Analyst, Compensation",Human Resources,Information & Employee Svcs,93204.99
"Sr Specialist, Sciences",Ut Enviro Regulatory Affairs,Utility Services,93201.62
"Sr Architect, Landscape",Park Planning & Development,Community Services,93174.24
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,93133.51
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,93089.9
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,93063.95
"Sr Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",93011.1
"Sr Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",92852.87
"Manager, Construction Inspect",Engineering,"Planning, Dev & Transportation",92820
Electrical Engineer I,L&P Electrical Engineering,Utility Services,92789.04
"Manager, Transportation Ops",Streets,"Planning, Dev & Transportation",92679.95
"Analyst II, Apps Software Dev",Information Technology,Information & Employee Svcs,92635.57
"Manager, Recreation",Recreation,Community Services,92591.92
"Manager, Environ Planning",Natural Areas,Community Services,92560
"Engineer II, Network",Broadband,Utility Services,92560
"Manager, Public Engagement",Utilities Customer Connections,Utility Services,92458.34
"Sr Specialist, Communications",Police Administration,Police Services,92452.8
"Sr Manager, Cultural Services",Cultural Services,Community Services,92363.44
Asst Fire Marshall II/ Non-Rot,Poudre Fire Authority,Poudre Fire Authority,92167.14
"Sr Analyst, HRIS",Human Resources,Information & Employee Svcs,92130.42
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,92037.5
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,91750
"Sr Analyst, GIS",L&P Operations & Technology,Utility Services,91736.58
Mechanical Engineer III,Utilities Customer Connections,Utility Services,91730
Electric Systems Operator,L&P Operations & Technology,Utility Services,91562
Electric Systems Operator,L&P Operations & Technology,Utility Services,91562
Water Engineer II,Ut Water Resources Div,Utility Services,91527.18
"Engineer II, Systems",Information Technology,Information & Employee Svcs,91520
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,91509.19
"Manager, Public Engagement",Natural Areas,Community Services,91270.18
"Manager, Wellness",Human Resources,Information & Employee Svcs,91229.58
Sr Technical Project Manager,L&P Electrical Engineering,Utility Services,91162.6
Civil Engineer I,Streets,"Planning, Dev & Transportation",91015.01
Fleet Maintenance Supervisor,Poudre Fire Authority,Poudre Fire Authority,91000
"Manager, Econ Sustainability",Urban Renewal Authority,Sustainability Services,91000
Sr Technical Project Manager,L&P Electrical Engineering,Utility Services,90824.01
Mechanical Engineer II,Utilities Customer Connections,Utility Services,90717.9
Civil Engineer II,Ut Water UTL Engineering Div,Utility Services,90639.9
"Manager, Sciences",Utilities Customer Connections,Utility Services,90626.71
Electric Lineworker,L&P Electric Field Services,Utility Services,90610
Sr Project Manager,Police Information Services,Police Services,90388.6
Asst Fire Marshall II/ Non-Rot,Poudre Fire Authority,Poudre Fire Authority,90359.88
Sr Technical Project Manager,L&P Electrical Engineering,Utility Services,90340.58
"Specialist, Sciences",Ut Water Quality Services Div,Utility Services,90200.09
"Analyst II, Finance",Operation Services,Information & Employee Svcs,90188.9
"Sr Planner, Transportation",FC Moves,"Planning, Dev & Transportation",90188.9
"Analyst II, Finance",Community Services Admin,Community Services,90084.33
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,90012
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,90012
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,90012
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,90012
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,90012
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,90012
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,90012
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,90012
"Sr Analyst, IT Security",Information Technology,Information & Employee Svcs,89980.8
"Sr Supervisor, Emergency Comms",Police Information Services,Police Services,89940
"Sr Supervisor, Emergency Comms",Police Information Services,Police Services,89940
"Sr Supervisor, Emergency Comms",Police Information Services,Police Services,89940
"Sr Supervisor, Emergency Comms",Police Information Services,Police Services,89940
"Sr Supervisor, Emergency Comms",Police Information Services,Police Services,89940
"Sr Supervisor, Emergency Comms",Police Information Services,Police Services,89940
Civil Engineer II,Ut Water UTL Engineering Div,Utility Services,89891.62
"Sr Specialist, Sciences",Ut Enviro Regulatory Affairs,Utility Services,89872.31
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,89767
"Sr Specialist, Sciences",Ut Enviro Regulatory Affairs,Utility Services,89759.2
Civil Engineer II,Streets,"Planning, Dev & Transportation",89739.01
"Manager, Customer Support",Utilities Customer Connections,Utility Services,89685.38
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,89310.24
"Manager, Marketing",Utilities Customer Connections,Utility Services,89280.14
"Manager, Compliance",Transfort / Parking Services,"Planning, Dev & Transportation",89249.98
"Sr Analyst, Business",Finance Administration,Financial Services,89156.6
"Sr Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",89130.2
"Lead Specialist, Sciences",Ut Water Quality Services Div,Utility Services,89005.42
Civil Engineer II,Engineering,"Planning, Dev & Transportation",89000.08
"Engineer II, Systems",Information Technology,Information & Employee Svcs,88992.02
Civil Engineer II,Ut Water UTL Engineering Div,Utility Services,88926.4
Sr Technical Project Manager,L&P Electrical Engineering,Utility Services,88891.82
Library Manager II,Library District,Library District,88767.33
"Manager, Social Sustainability",Social Sustainability,Sustainability Services,88763.48
"Lead Specialist, Forestry",Parks,Community Services,88709.83
Integrated Library Sys Admnstr,Library District,Library District,88667.65
Civil Engineer II,Ut Water UTL Engineering Div,Utility Services,88661.6
"Manager, Env Sustainability",Environmental Services,Sustainability Services,88617.08
"Manager, Env Sustainability",Environmental Services,Sustainability Services,88600
"Sr Supervisor, Parks",Parks,Community Services,88558.44
"Lead Specialist, Occptnl Hlth",Safety & Risk Management,Financial Services,88400
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,88388.49
"Sr Analyst, Finance",Information Technology,Information & Employee Svcs,88322.73
"Sr Supervisor, Forestry",Parks,Community Services,88232.92
"Sr Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",88192.04
IT Analyst,Poudre Fire Authority,Poudre Fire Authority,88020.14
Director of Finance & Bus Ops,Library District,Library District,87838.4
"Manager, Cultural Services",Cultural Services,Community Services,87819.68
"Supervisor, Bldg & Dev Rev",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",87807.98
"Manager, Graphic Design",Comm. & Public Involvement,Information & Employee Svcs,87683.72
"Sr Supervisor, Sciences",Ut Water Quality Services Div,Utility Services,87609.6
"Sr Supervisor, Sciences",Ut Wtr Reclama & Biosolids Div,Utility Services,87595.16
"Analyst II, Apps Software",Information Technology,Information & Employee Svcs,87560.58
"Sr Architect, Landscape",Park Planning & Development,Community Services,87507.7
Electric Lineworker,L&P Electric Field Services,Utility Services,87377
"Supervisor, Plant Operations",Ut Water Production Div,Utility Services,87308.15
Criminalist,Investigations,Police Services,87082.92
"Manager, Recreation",Recreation,Community Services,86999.9
Lead Building Inspector,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",86581
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
Firefighter II - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,86528
"Sr Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",86519.92
"Sr Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",86519.16
"Sr Supervisor, Maintenance",Ut Water Production Div,Utility Services,86477.74
"Engineer II, Network",Broadband,Utility Services,86399.91
"Sr Supervisor, Sciences",Ut Water Production Div,Utility Services,86367.05
"Manager, Customer Support",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",86364.54
IT Analyst,Poudre Fire Authority,Poudre Fire Authority,86294
Chemist,Ut Water Quality Services Div,Utility Services,85983.9
Civil Engineer II,Streets,"Planning, Dev & Transportation",85920.35
"Sr Supervisor, Recreation",Recreation,Community Services,85853.62
Chemist,Ut Water Production Div,Utility Services,85817.26
Sr Facilities Project Manager,Operation Services,Information & Employee Svcs,85696
Chemist,Ut Water Quality Services Div,Utility Services,85567.31
"Analyst II, GIS",Information Technology,Information & Employee Svcs,85419.52
Police Officer,Special Operations,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Special Operations,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Patrol,Police Services,85386
Police Officer,Police Administration,Police Services,85386
Police Officer,Police Administration,Police Services,85386
Police Officer,Police Administration,Police Services,85386
Police Officer,Police Administration,Police Services,85386
Police Officer,Police Administration,Police Services,85386
Collections Manager,Library District,Library District,85384.14
Library Manager,Library District,Library District,85383.22
Chemist,Ut Water Quality Services Div,Utility Services,85234.03
Civil Engineer I,Ut Distribution System Div,Utility Services,85062.16
"Engineer II, Network",Broadband,Utility Services,85000
"Sr Supervisor, Fleet",Operation Services,Information & Employee Svcs,84944.16
Mechanical Engineer II,Utilities Customer Connections,Utility Services,84859.06
Mechanical Engineer II,Utilities Customer Connections,Utility Services,84859.06
"Sr Specialist, Parks",Parks,Community Services,84833.63
Electronic Technician II,L&P Electrical Engineering,Utility Services,84641
Chemist,Ut Water Quality Services Div,Utility Services,84637.58
"Sr Supervisor, Transportn Ops",Traffic,"Planning, Dev & Transportation",84573.38
"Sr Supervisor, Transportn Ops",Streets,"Planning, Dev & Transportation",84573.38
"Sr Analyst, Administration",City Clerk's Office,Executive Services,84460.22
Sr Facilities Project Manager,Operation Services,Information & Employee Svcs,84460.1
"Partner, Human Resources",Human Resources,Information & Employee Svcs,84457.89
"Sr Supervisor, CSO",Patrol,Police Services,84298
"Sr Supervisor, Plant Ops",Ut Wtr Reclama & Biosolids Div,Utility Services,84296.82
"Sr Specialist, Outreach",Investigations,Police Services,84272.09
"Analyst II, Apps Software Dev",Information Technology,Information & Employee Svcs,84159.92
Community Services Manager,Library District,Library District,84107.58
"Sr Supervisor, Recreation",Recreation,Community Services,83856.64
"Lead Specialist, Safety",Safety & Risk Management,Financial Services,83720
Project Manager,L&P Electrical Engineering,Utility Services,83578.21
GIS Mapping Analyst,Poudre Fire Authority,Poudre Fire Authority,83522.66
"Sr Specialist, Sciences",Ut Enviro Regulatory Affairs,Utility Services,83448.2
"Sr Supervisor, Natural Areas",Natural Areas,Community Services,83430.14
"Lead Spc, Soc Sustainability",Social Sustainability,Sustainability Services,83365.33
"Sr Analyst, Finance",Sustainability Services Admin,Sustainability Services,83191.53
"Analyst I, Apps Software",Information Technology,Information & Employee Svcs,83003.61
"Analyst II, Benefits",Human Resources,Information & Employee Svcs,82680
"Sr Supervisor, Facilities",Operation Services,Information & Employee Svcs,82482.4
"Engineer I, Fiber",Broadband,Utility Services,82482.4
Sr Accountant,Accounting and Treasury,Financial Services,82396.75
Sr Project Manager,Ut Water Resources Div,Utility Services,82000.1
"Administrator I, Systems",Information Technology,Information & Employee Svcs,81681.6
"Lead Spc, Process Improvement",Budget,Financial Services,81619.2
Fleet Maintenance Technician,Poudre Fire Authority,Poudre Fire Authority,81614
"Sr Planner, Environmental",Natural Areas,Community Services,81411.28
"Sr Supervisor, Natural Areas",Natural Areas,Community Services,81369.96
"Lead Specialist, Safety",Safety & Risk Management,Financial Services,81312.6
"Sr Analyst, Budget",Budget,Financial Services,81016
Sr Buyer,Purchasing,Financial Services,81007.01
"Sr Supervisor, Cust Support",Utilities Customer Connections,Utility Services,80960.81
Chemist,Ut Water Quality Services Div,Utility Services,80821.44
"Sr Supervisor, HRIS",Human Resources,Information & Employee Svcs,80757.05
"Sr Supervisor, Fleet",Operation Services,Information & Employee Svcs,80365.71
"Analyst II, Finance",PDT Administration,"Planning, Dev & Transportation",80340
"Analyst II, Finance",Recreation,Community Services,80330.65
"Partner, Human Resources",Human Resources,Information & Employee Svcs,80293.79
"Sr Tech, Processing Support",Investigations,Police Services,80228
Chief Deputy City Clerk,City Clerk's Office,Executive Services,80136.14
Sr Buyer,Purchasing,Financial Services,80117.44
Sr Buyer,Operation Services,Information & Employee Svcs,80080
Sr Buyer,Purchasing,Financial Services,80015.09
"Analyst I, Apps Software",Information Technology,Information & Employee Svcs,80007.46
"Auditor II, Sales Tax",Sales Tax,Financial Services,80000
Technical Project Manager,Broadband,Utility Services,80000
"Lead Specialist, Natural Areas",Natural Areas,Community Services,79911.52
Chemist,Ut Water Quality Services Div,Utility Services,79896.11
Police Officer,Patrol,Police Services,79842
Police Officer,Patrol,Police Services,79842
Police Officer,Patrol,Police Services,79842
Police Officer,Patrol,Police Services,79842
Police Officer,Patrol,Police Services,79842
Police Officer,Patrol,Police Services,79842
Police Officer,Patrol,Police Services,79842
Police Officer,Patrol,Police Services,79842
Police Officer,Patrol,Police Services,79842
Police Officer,Patrol,Police Services,79842
Police Officer,Patrol,Police Services,79842
Police Officer,Patrol,Police Services,79842
"Planner, Transportation",FC Moves,"Planning, Dev & Transportation",79782.6
"Partner, Human Resources",Human Resources,Information & Employee Svcs,79777.73
"Lead Spc, Cultural Services",Cultural Services,Community Services,79761.09
"Partner, Human Resources",Human Resources,Information & Employee Svcs,79750.34
"Sr Supervisor, Transit",Transfort / Parking Services,"Planning, Dev & Transportation",79747.09
"Lead Spc, Env Sustainability",Environmental Services,Sustainability Services,79663.81
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
Firefighter I - 56 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,79586
"Sr Specialist, Sciences",Natural Areas,Community Services,79528.81
"Sr Supervisor, Parks",Parks,Community Services,79445.56
"Sr Technician, Traffic Engr",Traffic,"Planning, Dev & Transportation",79418.13
"Planner, City",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",79358.12
"Sr Supervisor, Parks",Parks,Community Services,79060.42
"Analyst I, Apps Software",Information Technology,Information & Employee Svcs,78952.18
Lead Plant Operator,Ut Water Production Div,Utility Services,78888
Lead Plant Operator,Ut Water Production Div,Utility Services,78888
"Lead Spc, Special Events",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",78825.09
"Sr Analyst, Treasury",Accounting and Treasury,Financial Services,78814.35
"Manager, Administration",Transfort / Parking Services,"Planning, Dev & Transportation",78795.06
"Supervisor, Enforcement",Natural Areas,Community Services,78771
"Sr Supervisor, Maintenance",Ut Wtr Reclama & Biosolids Div,Utility Services,78763.98
"Analyst I, Apps Software",Information Technology,Information & Employee Svcs,78711.51
Building Inspector,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",78710
Building Inspector,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",78710
Building Inspector,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",78710
Building Inspector,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",78710
"Administrator I, Systems",Ut Process & Supervis Cntr Div,Utility Services,78670.81
"Sr Supervisor, Information Svc",Police Information Services,Police Services,78157.23
"Specialist, Sciences",Ut Water Quality Services Div,Utility Services,78124.48
"Architect, Landscape",Park Planning & Development,Community Services,78047.38
"Analyst II, Compensation",Human Resources,Information & Employee Svcs,78044.45
"Analyst I, Apps Software",Information Technology,Information & Employee Svcs,78000
Fleet Maintenance Technician,Poudre Fire Authority,Poudre Fire Authority,78000
"Lead Inspector, Construction",Engineering,"Planning, Dev & Transportation",77896.83
Chemist,Ut Water Quality Services Div,Utility Services,77856.15
"Administrator I, Systems",Ut Process & Supervis Cntr Div,Utility Services,77855.13
"Sr Specialist, Public Engage",Human Resources,Information & Employee Svcs,77812.35
Investigative Aide,Investigations,Police Services,77783.92
"Sr Technician, Traffic Engr",Traffic,"Planning, Dev & Transportation",77603.01
"Lead Inspector, Construction",Engineering,"Planning, Dev & Transportation",77518.63
"Supervisor, Civil Engineering",Engineering,"Planning, Dev & Transportation",77353.2
"Crew Chief, Forestry",Parks,Community Services,77336.8
"Sr Supervisor, Bldg & Dev Rev",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",77265.45
"Sr Supervisor, Process Support",Investigations,Police Services,77249.9
Electric Lineworker,L&P Electric Field Services,Utility Services,77172
Electric Lineworker,L&P Electric Field Services,Utility Services,77172
Electric Lineworker,L&P Electric Field Services,Utility Services,77172
"Sr Supervisor, AR / Billing",Utilities Customer Connections,Utility Services,76931.99
"Lead Spc, Env Sustainability",Environmental Services,Sustainability Services,76930.1
Community Service Officer,Patrol,Police Services,76635
Community Service Officer,Patrol,Police Services,76635
Community Service Officer,Patrol,Police Services,76635
Community Service Officer,Patrol,Police Services,76635
Community Service Officer,Patrol,Police Services,76635
Community Service Officer,Patrol,Police Services,76635
Community Service Officer,Patrol,Police Services,76635
"Analyst II, Finance",Cultural Services,Community Services,76570.18
Fleet Maintenance Technician,Poudre Fire Authority,Poudre Fire Authority,76500.06
Master Electrician,Operation Services,Information & Employee Svcs,76457.25
"Crew Chief, Water Field Ops",Ut Drainage System Div,Utility Services,76439.18
"Analyst I, Apps Software",L&P Operations & Technology,Utility Services,76406.02
Municipal Court Administrator,Municipal Court,Judicial Services,76263.19
"Crew Chief, Water Field Ops",Ut Collection System Div,Utility Services,76252.56
